,big5_01,big5_02,big5_03,big5_04,big5_05,big5_06,big5_07,big5_08,big5_09,big5_10,gender,year,ethnicity,intrinsic_01,intrinsic_02,intrinsic_03,intrinsic_04,intrinsic_05,intrinsic_06,intrinsic_07,intrinsic_08,intrinsic_09,intrinsic_10,intrinsic_11,intrinsic_12,intrinsic_13,intrinsic_14,intrinsic_15,mood_01,mood_02,nfc_01,nfc_02,nfc_03,nfc_04,nfc_05,nfc_06,pate_01,pate_02,pate_03,pate_04,pate_05,selfesteem_01,stress_01,stress_02,stress_03,stress_04,Bias
class 1,0.08516269,0.07025913,-0.077656515,-0.047317706,0.16530795,-0.08967525,0.3261396,0.19705524,-0.050077453,-0.1815594,-0.22426805,0.17209111,-0.0058403676,-0.27456686,-0.27191633,0.076609194,0.53182274,-0.13433367,-0.27872673,-0.356111,-0.02694051,0.3002963,0.07847498,-0.044382337,-0.04911184,-0.2186954,0.56086975,0.042259812,-0.026335085,0.23643574,-0.0873616,0.30110386,-0.22841842,0.10751898,-0.5929052,-0.028493179,-0.23473038,-0.05034065,-0.17515361,-0.32896915,-0.17483678,0.19113609,0.112403974,0.07275606,0.0100163445,-0.54841745,-0.07147952
class 2,0.21525484,-0.011028638,-0.026644265,-0.20831501,0.10800166,-0.025182828,0.10178209,-0.02556011,-0.14507371,0.09624737,0.1468072,-0.025661428,-0.048391644,-0.24224225,0.28335118,0.0604683,0.34542173,-0.3182457,-0.28145584,0.024190051,-0.14883848,0.5161481,0.32785368,-0.047443468,0.38169104,-0.2771499,-0.12348189,0.2667626,-0.08829951,0.214084,-0.19847454,-0.2977773,0.33780593,-0.2750632,-0.078546874,-0.33241743,0.2781495,-0.3412411,-0.2422045,-0.016691621,-0.09585257,-0.36248693,0.087770864,0.33650145,-0.2852961,-0.041016817,0.10020793
class 3,-0.09157625,-0.06470787,0.007343716,0.14859878,0.08401515,-0.026666991,-0.10834394,0.012780021,-0.06671545,-0.027093282,-0.514885,0.41847527,-0.09625923,0.02704369,0.35596973,0.09234318,-0.09948022,0.11285877,-0.10603976,0.07165356,-0.29836792,-0.20423797,0.2722458,-0.08313837,-0.40391564,-0.23412377,0.18149246,-0.049959697,-0.2618952,0.33093822,0.13781758,0.079386584,0.028558873,-0.084869444,0.14987332,0.03583667,0.37819532,-0.17968628,0.13523397,-0.38868845,-0.0036007403,-0.05920647,0.12569833,0.123183504,0.26579937,-0.215036,-0.15465894
class 4,-0.17051817,-0.107172936,0.20743117,0.033341408,-0.22758672,-0.064320385,-0.23218188,0.15640181,-0.2233384,0.18844815,-0.37492666,-0.07675613,-0.0431644,-0.1782523,0.4382349,-0.25784892,-0.17774841,0.33867374,0.10306771,-0.038439106,0.11171021,-0.090830415,-0.27807617,0.3904882,-0.09359818,-0.2641631,-0.18617001,0.16023539,0.18759032,-0.08070427,0.48138943,0.24175529,0.1317909,0.016513932,0.10370141,0.096032366,-0.1954087,-0.010671539,-0.22825582,-0.011040136,-0.05567121,0.1234821,-0.17562462,-0.023901014,0.22118631,0.13693833,-0.12826759
class 5,0.19676292,-0.04036538,-0.21439631,-0.044441983,0.028847616,0.1349411,-0.04197168,0.14602965,0.18919158,0.07318644,-0.44038194,0.26920658,-0.034284316,0.46614546,0.09660989,-0.13991866,-0.4650168,0.3333449,0.14632197,0.059023626,-0.004140768,-0.20813456,0.25157303,0.031495057,-0.26523632,-0.09736277,-0.409611,-0.26145434,0.21524413,-0.21225524,-0.17854463,-0.092809044,-0.13663144,0.2439332,-0.38054755,0.24333645,-0.27916968,0.121625066,0.5495923,-0.21150742,0.19680326,-0.08073788,0.2851682,0.006842645,0.13310243,0.3141544,0.04185375
class 6,-0.2854923,0.0069217444,0.21715876,-0.22543184,-0.10673353,-0.0011615327,0.08079557,0.103013426,-0.025812753,0.031280693,0.20243527,-0.39965641,0.025804281,0.38849545,-0.039823268,-0.12936461,0.18558481,-0.024148164,-0.13620605,-0.1901718,-0.35192403,0.056276713,-0.5272571,-0.19349404,0.04031903,0.36584663,0.55134416,-0.1524494,-0.054733343,-0.07657142,0.29956976,0.51210356,0.2321689,-0.27451584,-0.19009675,-0.13201903,-0.15436941,-0.2261536,0.59116083,0.08960522,-0.015915021,-0.08616771,0.30064324,0.14745413,-0.021212956,0.32551444,0.16487083
class 7,0.14843373,-0.04501418,-0.29651693,-0.035949826,-0.03231931,0.22380161,0.06712331,0.0035555535,0.024731679,-0.026205719,1.1498402,-0.22881679,-0.06059475,-0.03542869,-0.08607737,0.03722604,0.37562406,-0.08486306,0.13956465,-0.024777478,0.12852845,-0.16264142,-0.28288752,0.1528118,-0.004594252,0.17256604,-0.12712646,-0.8024461,-0.08130518,-0.09892945,-0.07597092,0.062883936,-0.009567648,-0.00045520285,0.3785484,0.19606343,0.0238937,0.4481143,-0.10364475,0.18636352,-0.02763169,-0.12289113,-0.27267304,-0.13825339,-0.14515406,-0.024245704,0.039716322
class 8,-0.026170623,-0.07864004,-0.20689987,0.024951687,0.07125755,0.028772231,-0.06262534,0.016063485,0.2792996,-0.013555859,-0.37651688,0.049998358,-0.059302885,-0.07403489,-0.03040591,0.126875,-0.35617265,0.03819052,0.35543582,0.21993448,0.57190204,-0.1564755,0.37540275,0.19644439,-0.121126555,-0.25700748,-0.15308334,-0.07415408,0.32542402,-0.29593155,-0.11021312,-0.30116236,-0.15937239,0.032237407,-0.048736606,-0.011239764,0.19776215,0.095283225,-0.48905912,0.04137707,0.0074677626,-0.016516456,-0.28091565,-0.026177589,-0.17442364,0.19703856,-0.040264837
class 9,-0.116977565,-0.019248713,-0.018867355,0.26931298,0.032112394,0.032391153,-0.04397013,-0.19248621,0.19180775,-0.22618225,0.011745114,0.18237631,-0.19709928,0.2128211,-0.36881074,-0.37017995,0.17134996,-0.048485663,-0.13393629,0.14117776,0.23104653,0.29903266,0.024131004,-0.26189032,0.20051603,0.32024372,-0.24518426,0.6218757,0.12116032,-0.16348714,-0.16242346,-0.40954405,0.17895646,-0.043083172,-0.01813291,0.15161638,0.256776,-0.06683451,-0.26671484,0.10176183,-0.0020557335,-0.12344477,-0.2873412,-0.41403303,-0.15588406,0.17983429,-0.32756776
Average,-0.0050134137,-0.032110766,-0.04544973,-0.00947239,0.013655865,0.023655457,0.0096386215,0.04631698,0.019334756,-0.009492651,-0.04668342,0.04013965,-0.0576814,0.03222008,0.04190356,-0.055976707,0.056820586,0.02366574,-0.021330506,-0.010391097,0.023663955,0.03882599,0.026828937,0.015654547,-0.0350063,-0.054427333,0.005449936,-0.027703352,0.037427828,-0.016269011,0.011754278,0.010660052,0.04169902,-0.030864812,-0.07520476,0.024301767,0.030122051,-0.023322789,-0.025449501,-0.059754357,-0.019032529,-0.05964813,-0.011652208,0.009374761,-0.016874041,0.03608489,-0.041732203
